fuel,aspiration,num,drivewheels,enginelocation,wheel,length,width,height,curbweight,engine,horsepower,peakrpm,citympg,highwaympg,price
5,2,6,,,,,,,,,,,,,
0,0,2,0,1,88,168,64,48,2548,130,111,5000,21,27,13495
0,0,2,0,1,88.6,168.8,64.1,48.8,2548,130,111,5000,21,27,16500
0,0,2,0,1,94.5,171.2,65.5,52.4,2823,152,154,5000,19,26,16500
0,0,4,1,1,99.8,176.6,66.2,54.3,2337,109,102,5500,24,30,13950
0,0,2,1,1,99.4,176.6,66.4,54.3,2824,136,115,5500,18,22,15250
0,0,4,1,1,99.8,177.3,66.3,53.1,2507,136,110,5500,19,25,17710
0,0,4,1,1,105.8,192.7,71.4,55.7,2844,136,110,5500,19,25,18920
0,1,4,1,1,105.8,192.7,71.4,55.7,2954,136,110,5500,19,25,23875
0,0,2,0,1,105.8,192.7,71.4,55.9,3086,131,140,5500,17,20,16430
0,0,4,0,1,101.2,176.8,64.8,54.3,2395,108,101,5800,23,29,16925
0,0,2,0,1,101.2,176.8,64.8,54.3,2395,108,101,5800,23,29,20970
0,0,4,0,1,101.2,176.8,64.8,54.3,2710,164,121,4250,21,28,21105
0,0,4,0,1,101.2,176.8,64.8,54.3,2765,164,121,4250,21,28,24565
0,0,4,0,1,103.5,189,66.9,55.7,3055,164,121,4250,20,25,30760
0,0,2,0,1,103.5,189,66.9,55.7,3230,209,182,5400,16,22,41315
0,0,4,0,1,103.5,193.8,67.9,53.7,3380,209,182,5400,16,22,36880
0,0,2,1,1,110,197,70.9,56.3,3505,209,182,5400,15,20,5151
0,0,2,1,1,88.4,141.1,60.3,53.2,1488,61,48,5100,47,53,6295
0,0,4,1,1,94.5,155.9,63.6,52,1874,90,70,5400,38,43,6575
0,0,2,1,1,94.5,158.8,63.6,52,1909,90,70,5400,38,43,5572
0,0,2,1,1,93.7,157.3,63.8,50.8,1876,90,68,5500,37,41,6377
0,1,2,1,1,93.7,157.3,63.8,50.8,1876,90,68,5500,31,38,7957
0,0,4,1,1,93.7,157.3,63.8,50.8,2128,98,102,5500,24,30,6229
0,0,4,1,1,93.7,157.3,63.8,50.6,1967,90,68,5500,31,38,6692
0,0,4,1,1,93.7,157.3,63.8,50.6,1989,90,68,5500,31,38,7609
0,0,4,1,1,93.7,157.3,63.8,50.6,1989,90,68,5500,31,38,8921
0,1,2,1,1,93.7,157.3,63.8,50.6,2191,98,102,5500,24,30,12964
0,0,2,1,1,103.3,174.6,64.6,59.8,2535,122,88,5000,24,30,6479
0,0,2,1,1,95.9,173.2,66.3,50.2,2811,156,145,5000,19,24,6855
0,0,2,1,1,86.6,144.6,63.9,50.8,1713,92,58,4800,49,54,5399
0,0,2,1,1,86.6,144.6,63.9,50.8,1819,92,76,6000,31,38,6529
0,0,2,1,1,93.7,150,64,52.6,1837,79,60,5500,38,42,7129
0,0,4,1,1,93.7,150,64,52.6,1940,92,76,6000,30,34,7295
0,0,4,1,1,93.7,150,64,52.6,1956,92,76,6000,30,34,7295
0,0,2,1,1,96.5,163.4,64,54.5,2010,92,76,6000,30,34,7895
0,0,2,1,1,96.5,157.1,63.9,58.3,2024,92,76,6000,30,34,9095
0,0,4,1,1,96.5,167.5,65.2,53.3,2236,110,86,5800,27,33,8845
0,0,4,1,1,96.5,167.5,65.2,53.3,2289,110,86,5800,27,33,10295
0,0,4,1,1,96.5,175.4,65.2,54.1,2304,110,86,5800,27,33,12945
0,0,2,1,1,96.5,175.4,62.5,54.1,2372,110,86,5800,27,33,10345
0,0,4,0,1,96.5,175.4,65.2,54.1,2465,110,101,5800,24,28,6785
0,0,2,0,1,96.5,169.1,66,51,2293,110,100,5500,25,31,11048
0,0,4,0,1,94.3,170.7,61.8,53.5,2337,111,78,4800,24,29,32250
0,0,4,0,1,96,172.6,65.2,51.4,2734,119,90,5000,24,29,35550
0,0,2,0,1,113,199.6,69.6,52.8,4066,258,176,4750,15,19,36000
0,0,2,1,1,113,199.6,69.6,52.8,4066,258,176,4750,15,19,5195
0,0,2,1,1,102,191.7,70.6,47.8,3950,326,262,5000,13,17,6095
0,0,2,1,1,93.1,159.1,64.2,54.1,1890,91,68,5000,30,31,6795
0,0,4,1,1,93.1,159.1,64.2,54.1,1900,91,68,5000,31,38,6695
0,0,4,1,1,93.1,159.1,64.2,54.1,1905,91,68,5000,31,38,7395
0,0,2,0,1,93.1,166.8,64.2,54.1,1945,91,68,5000,31,38,10945
0,0,2,0,1,93.1,166.8,64.2,54.1,1950,91,68,5000,31,38,11845
0,0,2,0,1,95.3,169,65.7,49.6,2380,70,101,6000,17,23,13645
0,0,2,0,1,95.3,169,65.7,49.6,2380,70,101,6000,17,23,15645
0,0,2,1,1,95.3,169,65.7,49.6,2385,70,101,6000,17,23,8845
0,0,4,1,1,95.3,169,65.7,49.6,2500,80,135,6000,16,23,8495
0,0,2,1,1,98.8,177.8,66.5,53.7,2385,122,84,4800,26,32,10595
0,0,4,1,1,98.8,177.8,66.5,55.5,2410,122,84,4800,26,32,10245
0,0,4,1,1,98.8,177.8,66.5,53.7,2385,122,84,4800,26,32,11245
0,0,4,0,1,98.8,177.8,66.5,55.5,2410,122,84,4800,26,32,18280
1,0,4,0,1,98.8,177.8,66.5,55.5,2443,122,64,4650,36,42,18344
1,1,4,0,1,98.8,177.8,66.5,55.5,2425,122,84,4800,26,32,25552
1,1,4,0,1,104.9,175,66.1,54.4,2670,140,120,5000,19,27,28248
1,1,2,0,1,104.9,175,66.1,54.4,2700,134,72,4200,31,39,28176
1,1,4,0,1,110,190.9,70.3,56.5,3515,183,123,4350,22,25,31600
0,0,4,0,1,110,190.9,70.3,58.7,3750,183,123,4350,22,25,34184
0,0,2,0,1,106.7,187.5,70.3,54.9,3495,183,123,4350,22,25,35056
0,0,4,0,1,115.6,202.6,71.7,56.3,3770,183,123,4350,22,25,40960
0,0,2,0,1,115.6,202.6,71.7,56.5,3740,234,155,4750,16,18,45400
0,1,2,0,1,96.6,180.3,70.5,50.8,3685,234,155,4750,16,18,16503
0,0,2,1,1,120.9,208.1,71.7,56.7,3900,308,184,4500,14,16,5389
0,0,2,1,1,112,199.2,72,55.4,3715,304,184,4500,14,16,6189
0,0,2,1,1,102.7,178.4,68,54.8,2910,140,175,5000,19,24,6669
0,1,2,1,1,93.7,157.3,64.4,50.8,1918,92,68,5500,37,41,7689
0,1,2,1,1,93.7,157.3,64.4,50.8,1944,92,68,5500,31,38,9959
0,0,2,1,1,93.7,157.3,64.4,50.8,2004,92,68,5500,31,38,8499
0,1,2,1,1,93,157.3,63.8,50.8,2145,98,102,5500,24,30,12629
0,1,2,1,1,96.3,173,65.4,49.4,2370,110,116,5500,23,30,14869
0,1,2,1,1,96.3,173,65.4,49.4,2328,122,88,5000,25,32,14489
0,0,4,1,1,95.9,173.2,66.3,50.2,2833,156,145,5000,19,24,6989
0,0,4,1,1,95.9,173.2,66.3,50.2,2921,156,145,5000,19,24,8189
0,1,4,1,1,95.9,173.2,66.3,50.2,2926,156,145,5000,19,24,9279
0,0,4,1,1,96.3,172.4,65.4,51.6,2365,122,88,5000,25,32,9279
0,0,2,1,1,96.3,172.4,65.4,51.6,2405,122,88,5000,25,32,5499
1,0,2,1,1,96.3,172.4,65.4,51.6,2403,110,116,5500,23,30,7099
0,0,2,1,1,96.3,172.4,65.4,51.6,2403,110,116,5500,23,30,6649
0,0,4,1,1,94.5,165.3,63.8,54.5,1889,97,69,5200,31,37,6849
0,0,4,1,1,94.5,165.3,63.8,54.5,2017,103,55,4800,45,50,7349
0,0,2,1,1,94.5,165.3,63.8,54.5,1918,97,69,5200,31,37,7299
0,0,2,1,1,94.5,165.3,63.8,54.5,1938,97,69,5200,31,37,7799
0,0,4,1,1,94.5,170.2,63.8,53.5,2024,97,69,5200,31,37,7499
0,0,4,1,1,94.5,165.3,63.8,54.5,1951,97,69,5200,31,37,7999
0,0,2,1,1,94.5,165.6,63.8,53.3,2028,97,69,5200,31,37,8249
0,0,4,1,1,94.5,165.3,63.8,54.5,1971,97,69,5200,31,37,8949
0,0,4,1,1,94.5,170.2,63.8,53.5,2037,97,69,5200,31,37,9549
0,0,4,1,1,95.1,162.4,63.8,53.3,2008,97,69,5200,31,37,13499
0,0,4,1,1,97.2,173.4,65.2,54.7,2324,120,97,5200,27,34,14399
0,0,4,1,1,97.2,173.4,65.2,54.7,2302,120,97,5200,27,34,13499
0,0,2,0,1,100.4,181.7,66.5,55.1,3095,181,152,5200,17,22,17199
0,1,2,0,1,100.4,184.6,66.5,56.1,3296,181,152,5200,17,22,19699
0,0,2,0,1,100.4,184.6,66.5,55.1,3060,181,152,5200,19,25,18399
0,0,4,0,1,91.3,170.7,67.9,49.7,3071,181,160,5200,19,25,11900
1,1,4,0,1,91.3,170.7,67.9,49.7,3139,181,200,5200,17,23,13200
0,0,4,0,1,99.2,178.5,67.9,49.7,3139,181,160,5200,19,25,12440
1,1,4,0,1,107.9,186.7,68.4,56.7,3020,120,97,5000,19,24,13860
0,0,4,0,1,107.9,186.7,68.4,56.7,3197,152,95,4150,28,33,15580
1,1,4,0,1,114.2,198.9,68.4,58.7,3230,120,97,5000,19,24,16900
0,0,4,0,1,114.2,198.9,68.4,58.7,3430,152,95,4150,25,25,16695
1,1,4,0,1,107.9,186.7,68.4,56.7,3075,120,95,5000,19,24,17075
0,0,4,0,1,107.9,186.7,68.4,56.7,3252,152,95,4150,28,33,16630
1,1,4,0,1,114.2,198.9,68.4,56.7,3285,120,95,5000,19,24,17950
0,1,4,0,1,114.2,198.9,68.4,58.7,3485,152,95,4150,25,25,18150
0,0,2,1,1,107.9,186.7,68.4,56.7,3075,120,97,5000,19,24,5572
0,1,2,1,1,107.9,186.7,68.4,56.7,3252,152,95,4150,28,33,7957
0,0,4,1,1,108,186.7,68.3,56,3130,134,142,5600,18,24,6229
0,0,4,1,1,93.7,157.3,63.8,50.8,1918,90,68,5500,37,41,6692
0,0,4,1,1,93.7,157.3,63.8,50.8,2128,98,102,5500,24,30,7609
0,0,4,1,1,93.7,157.3,63.8,50.6,1967,90,68,5500,31,38,8921
0,1,2,0,1,93.7,167.3,63.8,50.8,1989,90,68,5500,31,38,12764
0,0,2,0,1,93.7,167.3,63.8,50.8,2191,98,68,5500,31,38,22018
0,0,2,0,rear,103.3,174.6,64.6,59.8,2535,122,88,5000,24,30,32528
0,0,2,0,rear,95.9,173.2,66.3,50.2,2818,156,145,5000,19,24,34028
0,0,2,0,rear,94.5,168.9,68.3,50.2,2778,151,143,5500,19,27,37028
0,0,4,1,1,89.5,168.9,65,51.6,2756,194,207,5900,17,25,9295
0,0,2,1,1,89.5,168.9,65,51.6,2756,194,207,5900,17,25,9895
0,0,2,1,1,89.5,168.9,65,51.6,2800,194,207,5900,17,25,11850
0,0,4,1,1,96.1,181.5,66.5,55.2,2579,132,?,?,23,31,12170
0,0,2,1,1,96.1,176.8,66.6,50.5,2460,132,?,?,23,31,15040
0,0,4,1,1,99.1,186.6,66.5,56.1,2658,121,110,5250,21,28,15510
0,1,2,1,1,99.1,186.6,66.5,56.1,2695,121,110,5250,21,28,18150
0,1,4,1,1,99.1,186.6,66.5,56.1,2707,121,110,5250,21,28,18620
0,0,2,1,1,99.1,186.6,66.5,56.1,2758,121,110,5250,21,28,5118
0,0,2,1,1,99.1,186.6,66.5,56.1,2808,121,160,5500,19,26,7053
0,0,2,4wd,1,99.1,186.6,66.5,56.1,2847,121,160,5500,19,26,7603
0,0,4,1,1,93.7,156.9,63.4,53.7,2050,97,69,4900,31,36,7126
0,0,4,1,1,93.7,157.9,63.6,53.7,2120,108,73,4400,26,31,7775
0,0,4,1,1,93.3,157.3,63.8,55.7,2240,108,73,4400,26,31,9960
0,0,4,4wd,1,97.2,172,65.4,52.5,2145,108,82,4800,32,37,9233
0,1,4,4wd,1,97.2,172,65.4,52.5,2190,108,82,4400,28,33,11259
0,0,4,1,1,97.2,172,65.4,52.5,2340,108,94,5200,26,32,7463
0,0,4,1,1,97,172,65.4,54.3,2385,108,82,4800,24,25,10198
0,0,4,4wd,1,97,172,65.4,54.3,2510,108,111,4800,24,29,8013
0,1,4,4wd,1,97,173.5,65.4,53,2290,108,82,4800,28,32,11694
0,0,2,1,1,97,173.5,65.4,53,2455,108,94,5200,25,31,5348
0,0,2,1,1,96.9,173.6,65.4,54.9,2420,108,82,4800,23,29,6338
0,0,4,1,1,96.9,173.6,65.4,54.9,2650,108,111,4800,23,23,6488
0,0,4,1,1,95.7,158.7,63.6,54.5,1985,92,62,4800,35,39,6918
0,0,4,4wd,1,95.7,158.7,63.6,54.5,2040,92,62,4800,31,38,7898
0,0,4,4wd,1,95.7,158.7,63.6,54.5,2015,92,62,4800,31,38,8778
0,0,4,1,1,95.7,169.7,63.6,59.1,2280,92,62,4800,31,37,6938
0,0,4,1,1,95.7,169.7,63.6,59.1,2290,92,62,4800,27,32,7198
1,0,4,1,1,95.7,169.7,63.6,59.1,3110,92,62,4800,27,32,7898
1,0,4,1,1,95.7,166.3,64.4,53,2081,98,70,4800,30,37,7788
0,0,4,1,1,95.7,166.3,64.4,52.8,2109,98,70,4800,30,37,7738
0,0,4,1,1,95.7,166.3,64.4,53,2275,110,56,4500,34,36,8358
0,0,4,1,1,95.7,166.3,64.4,52.8,2275,110,56,4500,38,47,9258
0,0,2,0,1,95.7,166.3,64.4,53,2094,98,70,4800,38,47,8058
0,0,2,0,1,95.7,166.3,64.4,52.8,2122,98,70,4800,28,34,8238
0,0,2,0,1,95.7,166.3,64.4,52.8,2140,98,70,4800,28,34,9298
0,0,2,0,1,94.5,168.7,64,52.6,2169,98,70,4800,29,34,9538
0,0,2,0,1,94.5,168.7,64,52.6,2204,98,70,4800,29,34,8449
0,0,2,0,1,94.5,168.7,64,52.6,2265,98,112,6600,26,29,9639
0,0,2,0,1,94.5,168.7,64,52.6,2300,98,112,6600,26,29,9989
0,0,2,0,1,98.4,176.2,65.6,52,2540,146,116,4800,24,30,11199
0,0,2,0,1,98.4,176.2,65.6,52,2536,146,116,4800,24,30,11549
0,0,2,0,1,98.4,176.2,65.6,52,2551,146,116,4800,24,30,17669
0,0,4,1,1,98.4,176.2,65.6,52,2679,146,116,4800,24,30,8948
1,1,4,1,1,98.4,176.2,65.6,52,2714,146,116,4800,24,30,10698
0,0,4,1,1,98.4,176.2,65.6,53,2975,146,116,4800,24,30,9988
0,0,4,1,1,102.4,175.6,66.5,54.9,2326,122,92,4200,29,34,10898
0,0,4,1,1,102.4,175.6,66.5,54.9,2480,110,73,4500,30,33,11248
0,0,2,0,1,102.4,175.6,66.5,53.9,2414,122,92,4200,27,32,16558
0,0,2,0,1,102.4,175.6,66.5,54.9,2414,122,92,4200,27,32,15998
0,0,4,0,1,102.4,175.6,66.5,53.9,2458,122,92,4200,27,32,15690
0,0,4,0,1,102.9,183.5,67.7,52,2976,171,161,5200,20,24,15750
1,0,2,1,1,102.9,183.5,67.7,52,3016,171,161,5200,19,24,7775
0,0,2,1,1,104.5,187.8,66.5,54.1,3131,171,156,5200,20,24,7975
1,0,4,1,1,104.5,187.8,66.5,54.1,3151,161,156,5200,19,24,7995
0,0,4,1,1,97.3,171.7,65.5,55.7,2261,97,52,4800,37,46,8195
0,0,4,1,1,97.3,171.7,65.5,55.7,2209,109,85,5250,27,34,8495
